Mineral Name,Mineral Class,Fe Oxidation State,Fe Site Geometry,Shell Label,Shell Detail,Linkage,R Angstrom,N Coordination,sigma2 Angstrom2,Key Reference
nontronite (NG-1),Phyllosilicate,Fe(III),mixed,Fe-O,,,1.88,0.6,-1,Finck et al. (2019) (NG-1 split O1 shell)
nontronite (NG-1),Phyllosilicate,Fe(III),mixed,Fe-O,,,2,5.1,-1,Finck et al. (2019) (NG-1 split O1 shell)
nontronite (NG-1),Phyllosilicate,Fe(III),mixed,Fe-Si,,,3.255,-1,-1,Finck et al. (2019) (nontronites: Fe–Si1 distance range 3.25–3.26 Å; midpoint used)
saponite,Phyllosilicate,Fe(III),tetrahedral,Fe-Fe,,,3.245,0.3,-1,Finck et al. (2019) (Fe–Fe1 distance range 3.24–3.25 Å; N_Fe1 ≤ 0.3; midpoint and 0.3 used)
saponite,Phyllosilicate,Fe(III),tetrahedral,Fe-Mg,,,3.335,-1,-1,Finck et al. (2019) (Fe–Mg1 distance range 3.33–3.34 Å; midpoint used)
saponite,Phyllosilicate,Fe(III),tetrahedral,Fe-O,,,1.86,3,-1,Finck et al. (2019) (synthetic saponites: ~3 O at 1.86 Å)
saponite,Phyllosilicate,Fe(III),tetrahedral,Fe-Si,,,3.19,-1,-1,Finck et al. (2019) (Fe–Si1 distance range 3.18–3.20 Å; midpoint used)
tetra-ferriphlogopite,Phyllosilicate,Fe(III),tetrahedral,Fe-O,,,1.86,-1,-1,Giuli et al. 2001
tetra-ferriphlogopite,Phyllosilicate,Fe(III),octahedral,Fe-O,,,2.22,-1,-1,Giuli et al. 2001
tetra-ferriphlogopite,Phyllosilicate,Fe(III),tetrahedral,Fe-Si,,,3.24,-1,-1,Giuli et al. 2001
aegirine,Silicate,Fe(III),octahedral,Fe-O,,,2.038,-1,-1,Binsted et al. 1986
fayalite,Silicate,Fe(II),octahedral,Fe-O,,,2.22,6,-1,Jackson et al. 1993
orthopyroxene (M2 site),Silicate,Fe(II),octahedral,Fe-O,short,,1.975,-1,-1,Closmann et al. 1996
orthopyroxene (M2 site),Silicate,Fe(II),octahedral,Fe-O,mid,,2.125,-1,-1,Closmann et al. 1996
orthopyroxene (M2 site),Silicate,Fe(II),octahedral,Fe-O,long,,2.54,-1,-1,Closmann et al. 1996
staurolite,Silicate,Fe(II),tetrahedral,Fe-O,,,1.98,3.8,0.018,Henderson et al. 1997
